--bus section
bus,voltage_pu,angle,shunt_b
1,1.0198487774665879,4.089677767421325,0.0
2,1.0334968985985196,2.383788363078161,0.0
3,1.0226410696612573,-1.1602795346896864,0.0
4,1.0339236698227579,10.276356853578585,0.0
5,1.0316861153299937,1.8423740316508368,0.0
6,1.0155175454913608,6.342618008805536,0.0
7,1.024700954216601,-0.49972284300621217,0.0
8,1.0328126347310962,2.473984661600779,0.0
9,1.0192853549099534,1.047666947908185,0.0
10,1.030902287454929,1.9035658834723341,0.0
11,1.0239278589102994,-1.1791952126586667,0.0
12,1.0204557776648058,-3.1005752395803605,0.0
13,1.020421552532818,1.6532515269148353,0.0
15,1.031543818624796,-1.2419951512539156,0.0
16,1.0334385034975846,8.666671833431222,0.0
17,1.0348158301469306,8.463711758262464,5.489215133998547
18,1.0349968711352437,5.126385869353928,0.0
19,1.0335435164811249,5.017106380124652,0.0
20,1.0339419214450305,10.200440502847522,0.0
21,1.0055490104836255,-3.8651313514191687,0.0
22,1.0167050569490055,-2.8408823126611247,0.0
23,1.0087998744096425,-7.44632620781743,0.0
24,1.032511190329454,-2.084270039876439,2.1215269550629614
25,1.0155175454913608,6.342618008805538,0.0
27,1.0306367346626888,1.9195281918220006,0.0
28,1.0214257604144337,1.6134439107883598,-1.1023629472703569
30,1.0282578403839613,-1.744043339155112,0.0
31,1.0348288797019811,5.127518997405849,0.0
32,1.0316554552519488,2.2366737658935447,0.0
33,1.0321584055825481,4.3040589961633575,0.0
34,1.0095823727763318,-4.954436635766413,0.0
35,1.0335444001615852,5.017102950969321,0.0
36,1.0321584055825481,4.3040589961633575,0.0
37,1.0289112261773241,4.470234011788323,0.0
38,1.0335646211771736,5.01171902964181,0.0
39,1.0033026597240273,4.390616755478653,0.0
40,1.0309271028352693,8.118631566117253,0.0
41,1.026047847105418,2.128390532580645,0.0
43,1.0349957252116084,12.219740840415566,0.0
44,1.0090363797659514,-7.136391307912912,0.0
45,1.0321584055825481,4.3040589961633575,0.0
46,1.034996301177442,2.2533728309424697,0.0
47,1.0276695422684559,7.959125420365516,0.0
49,1.0095823727763318,-4.954436635766413,0.0
50,1.0328544859619546,2.4517451839425015,0.0
51,1.0316732307386056,-2.1307482886412115,0.0
52,1.025737821730318,2.1978786930355696,0.0
53,1.0216983472058327,-1.0493075616333243,0.0
54,1.017545986784257,-1.5822261888137228,-1.8281451631868264
55,1.026282031473569,6.342618008805539,0.0
56,1.0217210340177934,-2.9844755049329073,0.0
57,0.9926848694250721,-4.8938892006758055,0.0
58,1.0305501933559664,-0.16340953494023863,5.304679023086699
59,1.0086232277699363,-7.476253033354639,0.0
60,1.0201105297870445,1.1311902189712049,0.0
61,1.0305553517774453,1.898094550146327,0.0
62,1.0227863160081714,-0.9526998892897817,0.0
63,1.034039084075639,2.506914850499786,0.0
64,1.0077290635738494,-7.479095816208311,0.0
65,1.0318482308597894,8.78295959730869,0.0
66,1.0349968711352437,5.126385869353928,0.0
67,1.014064492763476,-4.867102203795123,24.145599319782363
68,1.0136429491422445,-2.5175461906240706,0.0
69,1.033322982793033,4.997937538176854,0.0
70,1.017149691446903,7.8842312057992325,0.0
71,1.028646853569523,7.921135411910063,0.0
72,1.0306646547509448,1.9833365826279585,0.0
73,1.0265013467355788,-0.8328801322106331,0.0
74,1.0329708656823353,2.4948326443246125,5.5726850444079234
75,1.034621737853768,10.119129507422969,0.0
76,1.0239814717205913,-0.8357815474406247,0.0
77,1.0084563407012783,1.7440387290521187,0.0
78,1.0275958090510817,-1.8165416847601397,0.0
79,1.0291745725914698,4.1844032543362575,0.0
80,1.0332700858110457,8.660469057325137,0.0
81,1.0208040310450637,1.6959550616525938,0.0
82,1.0216672694005318,-1.0530915827478535,0.0
83,1.0153292027106195,-2.323144711280893,0.0
84,1.0130696908663834,-2.5759446346685273,0.0
85,0.9926176282924768,-4.901517655882135,0.0
86,1.0229870383032336,4.670379012301415,0.0
87,1.0258057217648644,2.137676361025967,0.0
88,1.027248234525448,10.492681037366685,-9.312025459286835
89,1.0216974622087152,4.559249016846535,0.0
90,1.0341991479472117,2.5922807352912414,0.0
91,1.0159384568889493,-2.2248354022004357,0.0
92,1.0243208929434642,-1.1269733410445717,0.0
93,1.0349999932678915,8.588058798946426,0.0
94,1.0328808075333118,-2.0307844357455616,12.522059412566287
95,0.9812251220569727,-11.10318281563679,0.0
96,0.9811675701020496,-11.104168985030022,0.0
97,0.984305776697348,-10.723780194263888,0.0
98,0.9843864413211725,-10.718214098558548,0.0
